,NAMA_PERUSAHAAN,NIB,NPWP,ALAMAT,NO_TELP,EMAIL,NO_AKTA,NO_SK,JENIS_PERUSAHAAN,STATUS_NIB
1106,PT ARSARI PRADANA UTAMA,9120106642765.0,33096702077000.0,"GEDUNG MIDPLAZA II LANTAI 6, JL. JENDERAL SUDIRMAN KAV.10-11, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0215732988,corsec_apu@arsari.co.id,58.0,,,
1246,PT ARSARI PRATAMA,2202240277582.0,27968908022000.0,"GEDUNG MID PLAZA 2 LANTAI 6, JL. JEND. SUDIRMAN KAV. 10-11, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0215732988,corsec_ap@arsari.co.id,104.0,,,
857,PT ARSARI TAMBANG,1271000731054.0,29309051022000.0,"GEDUNG MID PLAZA 2 LANTAI 6, JL. JEND. SUDIRMAN KAV. 10-11, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0215732988,corsec_at@arsari.co.id,25.0,,,
656,PT ARTABUMI SENTOSA INDONESIA,1503230041984.0,402028690304000.0,"PERUMAHAN GRAHA LOKA SELINDUNG JALAN DAMAR 4 BLOK A5-A6 NOMOR 6, GABEK, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081293781707,pt.artabumisentosaindonesia@gmail.com,26.0,,,
766,PT ARTHA CIPTA LANGGENG,9120402242609.0,22388060011000.0,"TAMARA CENTER JLN. JEND SUDIRMAN KAV.24, SETIABUDI, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",07174256469,pt_acl@yahoo.co.id,67.0,,Perseroan Terbatas (PT),
596,PT ARTHA MINERATAMA LESTARI,511220006723.0,614716900315000.0,"KOMPLEK PERUMAHAN BANGKA ASRI BLOK MURAI NO. 36, PANGKALAN BARU, KAB. BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG",082269051373,arthamineratamalestari@gmail.com,9.0,,Perseroan Terbatas (PT),
210,PT ARTHA PERSADA SEJAHTERA,508220054692.0,761270461011000.0,"TAMARA CENTER LANTAI 12, JLN. JEND SUDIRMAN KAV. 24, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0212525668,apsbangkabelitung@gmail.com,71.0,,Perseroan Terbatas (PT),
536,PT ARVENTA KARYA GEMILANG,270010242836.0,969404839301000.0,"JL. GAJAH RAYA BLOK I NO. 11, RT. 009, RW. 002, KALIDONI, KOTA PALEMBANG, SUMATERA SELATAN",081933366448,siwihendra@yahoo.com,11.0,,Perseroan Terbatas (PT),
820,PT ARYA PRIMA SENTOSA,9120218250132.0,17236985305000.0,"JL. RAYA BADAU KILOMETER 16-17, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",02122673266,aryaprimasentosa@gmail.com,208.0,,,
485,PT ASIA POWER SEJAHTERA,2505220065783.0,655079242305000.0,"JALAN ABDUL RAHMAN, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081511779588,asiapowersejahtera@gmail.com,16.0,,Perseroan Terbatas (PT),
45,PT ATD MAKMUR MANDIRI,8120200743419.0,23464399315000.0,"KAWASAN INDUSTRI DAN PELABUHAN AIR KANTUNG, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081210667092,leo@atdmmj.com,5.0,,,
1117,PT AZZAHRA CITRA PERKASA,9120115040821.0,25042409086000.0,"RUKO BOTANICAL BLOK H-7/21. JL RAYA JOGLO KEMBANGAN, KEMBANGAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",021-7393872,azzahracitraperkasa@gmail.com,70.0,,,
4,PT BABEL INTI PERKASA,9120203202626.0,25722661305000.0,"JL. TENGAH DUSUN LINTANG, SIMPANG RENGGIANG, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",081949441136,hrdbip2013@gmail.com,829.0,,Perseroan Terbatas (PT),
185,PT BABEL RESOURCES,3005230101717.0,408224046043000.0,GEDUNG CITRA TOWER KEMAYORAN LANTAI 15 UNIT E & F JL. BENYAMIN SUAEB 00/00 KEMAYORAN KOTA ADM. JAKARTA PUSAT DKI JAKARTA,0816823271,,,,Perseroan Terbatas (PT),Aktif
59,PT BABEL SURYA ALAM LESTARI,8120010130437.0,20928529305000.0,"JL.MANGGAR TENGAH RT.016B/RW.05 KELEKAK DATUK, DESA BADAU, KEC.BADAU, TANJUNG PANDAN, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087812708701,babelsuryaalamlestari.oss@gmail.com,42.0,,,
30,PT BABELLAND,9120007481619.0,20926093305000.0,"JL. PILANG NO. 219, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081929777974,pt.babelland@gmail.com,9.0,,,
421,PT BANGKA CIPTA PRATAMA,9120009251583.0,32504342044000.0,"JALAN SEANGAIN 3, PANGKAL BALAM, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",+6281385896244,bangkaciptapratama27@gmail.com,3.0,,Perseroan Terbatas (PT),
287,PT BANGKA MINERAL ABADI,220100210348.0,920566510304000.0,"JALAN DEPATI HAMZAH, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",085208880999,bangkamineral.pkp@gmail.com,12.0,,Perseroan Terbatas (PT),
197,CV BANGKA MINERATAMA MANDIRI,2601220017207.0,930127600304000.0,JL ALEXANDER RUKO F 18 CITRALAND BOTANICAL GARDEN CITY 001/002 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,+6281379070308,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
61,PT BANGKA PRIMA TIN,2302220014819.0,27624832315000.0,"JL.RAYA PANGKOL, BADAU, KAB. BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG",087812708701,bangkaprimatin77@gmail.com,2.0,,,
380,CV BANGKA SAMUDRA PRATAMA,241010000686.0,846907616304000.0,"JL ALEXANDER RUKO F 18 CITRALAND BOTANICAL CITY, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",082181553669,cvbspratama@gmail.com,13.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
383,PT BANGKA SAMUDRA PRATAMA,1273000650629.0,832882757304000.0,"PERUMAHAN CITRALAND BOTANICAL CITY, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0717435758,bangkasamudrapratama@gmail.com,8.0,,Perseroan Terbatas (PT),
79,PT BANGKA SERUMPUN,9120007761712.0,25470048315000.0,"DESA RANGGAS, DUSUN 02 BELAWI, AIR GEGAS, KAB. BANGKA SELATAN, KEPULAUAN BANGKA BELITUNG",07179106508,ptbangkaserumpun@yahoo.com,19.0,,,
191,PT BANGKA SILICA ABADI,2401220065188.0,539065615304000.0,"JL ALEXANDER RUKO F 18 KOMPLEK CITRALAND BOTANICAL CITY

 002/001 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG",081289998598,,,,Perseroan Terbatas (PT),Aktif
187,CV BANGKA TIMAH MAKMUR,1282000231681.0,24904187315000.0,"JL. JELITIK KAWASAN INDUSTRI, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",08119753815,btm_bangka@yahoo.co.id,5.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
37,PT BANGKA TIN INDUSTRY,8120106703916.0,18695791308000.0,"KAWASAN INDUSTRI JELITIK SUNGAILIAT, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",7259797,ossbangkatinindustry@gmail.com,22.0,,Perseroan Terbatas (PT),
221,PT BANGUNAN AGUNG,8120018170661.0,20929386305000.0,JALAN JEND. SUDIRMAN 12/03 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,0213802865,,,,Perseroan Terbatas (PT),Aktif
807,PT BANTALA MITRA SUKSES,1912230254291.0,995438017021000.0,"GEDUNG JAYA LANTAI 9 UNIT A02, JALAN M.H. THAMRIN NOMOR 12, MENTENG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0218305555,bantalamitra@gmail.com,50.0,,Perseroan Terbatas (PT),
714,PT BASEL MINING SEJAHTERA,9120206181143.0,26343681304000.0,"JL. AIR MAWAR DALAM, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07179116624,info.baselminingsejahtera@gmail.com,52.0,,,
176,PT BASKARA SILICA MAKMUR,2401220082828.0,539087445304000.0,"JL ALEXANDER RUKO F 18 KOMPLEK CITRALAND BOTANICAL CITY

 002/001  KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG",081289998598,,,,Perseroan Terbatas (PT),Aktif
172,PT BATARA PANCAR JAYA MINERAL,1512210044085.0,535341705304000.0,JALAN M SALEH ZAINUDDIN NOMOR: 88 006/002 GABEK KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,08117851171,,,,Perseroan Terbatas (PT),Aktif
214,CV BAYU MANDIRI PRATAMA,9120603712144.0,18809301308000.0,JALAN RAYA GUNUNG GANGSIR 001/006 BEJI KAB. PASURUAN JAWA TIMUR,085267117795,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
167,PT BELANTARA JAYA LESTARI,2103220030107.0,637074964315000.0,GG GALUNGGUNG AIR MERAPIN 36 007/000 SUNGAILIAT KAB. BANGKA KEPULAUAN BANGKA BELITUNG,0818715818,,,,Perseroan Terbatas (PT),Aktif
183,PT BELITONG ANUGRAH PERTIWI,1908230057036.0,500169883305000.0,PERUM. PELANGI BOULEVARD KV.275 012/004 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,081288666525,,,,Perseroan Terbatas (PT),Aktif
793,PT BELITUNG CININDO ANTARBUANA,711220134053.0,703461418305000.0,"JL. JEND. SUDIRMAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087774932782,cinindoantarbuana1@gmail.com,28.0,,Perseroan Terbatas (PT),
201,PT BELITUNG INDUSTRI SEJAHTERA,8120000850879.0,741317473418000.0,"JL PASAR KEMIS - CIKUPA KP.PASIR GADUNG, SINDANG JAYA, KAB. TANGERANG, BANTEN",0215904208,oss.belitungindustrisejahterapt@gmail.com,10.0,,,
689,PT BELITUNG INTI PERSADA,111230110701.0,509399440305000.0,"PERUM. PELANGI BOULEVARD KV.275, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081288666525,belitungintipersada@gmail.com,19.0,,Perseroan Terbatas (PT),
432,PT BELITUNG JAYA GEMILANG,504220026795.0,706582400305000.0,"JL. JEND. SUDIRMAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087774932782,gemilangbumijaya@gmail.com,11.0,,Perseroan Terbatas (PT),
602,PT BELITUNG KUARI INDAH,2812210008135.0,536145998047000.0,"THE SUITES TOWER LANTAI 12 UNIT 1205, JALAN BOULEVARD PIK KAV.OFS NOMOR 1, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",087774621920,belitungkuarindah@yahoo.com,7.0,,Perseroan Terbatas (PT),
369,PT BELITUNG SAND MINING,9120200211858.0,30522866048000.0,"KOMPLEK PURI MUTIARA, JL. GRIYA UTAMA BLOK C.18-19 SUNTER AGUNG, MANGGAR, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",0818111337,bsm.beltim@gmail.com,24.0,,Perseroan Terbatas (PT),
94,PT BELITUNG SAND MINING,9120200211858.0,30522866048000.0,"KOMPLEK PURI MUTIARA, JL. GRIYA UTAMA BLOK C.18-19 SUNTER AGUNG /  KOTA ADM. JAKARTA UTARA DKI JAKARTA",,,,,Perseroan Terbatas (PT),Aktif
552,PT BELTIM MAKMUR JAYA,1501230026243.0,606345908305000.0,"DUSUN TANJUNG BELANTU, PENJARINGAN, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",081949028948,beltimmakmurjaya@gmail.com,16.0,,Perseroan Terbatas (PT),
878,PT BERDIKARI SEJAHTERA SENTOSA,2001220009597.0,861816239036000.0,"SOHO CAPITAL @ PODOMORO CITY, LANTAI 37 NOMOR 3709, GROGOL PETAMBURAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",08117171558,berdikarisejahtera99@gmail.com,141.0,,,
883,PT BERJAYA BERSAMA KAWAN,504240021858.0,209073923085000.0,"RUKO KALIDERES INDAH 3, JL. PETA BARAT NO. 3A BLOK B, KALIDERES, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081297065544,berjayabersamak@gmail.com,314.0,,,
611,PT BERKAH ALAM BELITONG,2702230073936.0,400015541416000.0,"JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NO 1-2, BATUCEPER, KOTA TANGERANG, BANTEN",081319833750,berkahalambelitong@gmail.com,42.0,,Perseroan Terbatas (PT),
219,PT BERKAH BANGKA MAJU,9120202542342.0,905156899315000.0,JALAN KAWASAN INDUSTRI JELITIK 050/0 SUNGAILIAT KAB. BANGKA KEPULAUAN BANGKA BELITUNG,081212123488,,,,Perseroan Terbatas (PT),Aktif
519,PT BERKAH BERMUDA ENERGI,205010132457.0,966162661304000.0,"JL BASUKI RACHMAD KOMPLEK PERMATA SRIWIJAYA, GIRIMAYA, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081271110075,bermudaenergy2020@gmail.com,3.0,,Perseroan Terbatas (PT),
643,PT BERKAH BERSAMA RESOURCES,909230042524.0,394118293305000.0,"JL. K.A. DJINAL DUSUN SUGE, SIMPANG PESAK, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",082181443127,berkahbersamaresources@gmail.com,19.0,,Perseroan Terbatas (PT),
168,PT BERKAH SAMUDERA SEMESTA,2403230037912.0,403129349304000.0,JL. WIDURI BULAN 3 AIR ITAM 001/001 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,081511663333,,,,Perseroan Terbatas (PT),Aktif
216,PT BERKAH SILICA MULIA,2401220068193.0,539085241304000.0,JL ALEXANDER RUKO F-18 PERUM. CITRALAND BOTANICAL CITY 000/000 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,082181553669,,,,Perseroan Terbatas (PT),Aktif
446,PT BERKAH SUMBER ALAM,3007220007999.0,31604416047000.0,"JL.MUARA KARANG BLOK Z 3 S, NO. 46, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",08127177177,bsa.berkahsumberalam@gmail.com,9.0,,Perseroan Terbatas (PT),
669,PT BERKAH SUMBER DAYA BELITONG,2702230079079.0,400075495416000.0,"JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NO 1-2, BATUCEPER, KOTA TANGERANG, BANTEN",0818713888,berkahsumberdayabelitong@gmail.com,40.0,,Perseroan Terbatas (PT),
639,PT BERKAT ASIA MINERALINDO,2407230117228.0,397360355305000.0,"JL. ABDUL RAHMAN, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081511779588,ptberkatasiamineralindo@gmail.com,64.0,,Perseroan Terbatas (PT),
204,PT BERKAT BERJAYA SEJAHTERA,1104220049786.0,761268960011000.0,"TAMARA CENTER LT. 12, JLN. JEND SUDIRMAN KAV. 24, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0212525667,bbsbangkabelitung@gmail.com,51.0,,Perseroan Terbatas (PT),
685,PT BERLIAN CAHAYA TIMUR,2106230153191.0,393621370305000.0,"JALAN PELATARAN AIR KETEKOK, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082210197869,cahayaberlian545@gmail.com,1.0,,,
641,PT BERLIAN SISI BARAT,2006230127167.0,393689526305000.0,"JALAN DR SUTOMO NOMOR 34, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082210197869,berliansisibarat@gmail.com,7.0,,,
342,PT BERSAHAJA BERKAT SAHABAT JAYA,9120203432925.0,856287941315000.0,"JALAN BUKIT KUALA , NOMOR : 1, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081297065544,bersahajagroup.babel@gmail.com,244.0,,Perseroan Terbatas (PT),
339,CV BERSATU BANGUN PERTIWI,9120114271896.0,32745093305000.0,"JL. DAHLAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08127174291,bbppertiwi2012@gmail.com,27.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
708,PT BILITON MUDA GEMILANG,603230064315.0,401127337411000.0,"RUKO BIDEX BLOK F/6 SEKT. II BSD, SERPONG, KOTA TANGERANG SELATAN, BANTEN",02127651960,bilitonmudagemilang@gmail.com,53.0,,Perseroan Terbatas (PT),
164,PT BILITON PRIMA MINERAL,806230041765.0,391612900061000.0,"GRAHA PERMATA PANCORAN BLOK C 2-3 DAN B2, KOMPLEK TRILOKA TNI-AU, JALAN RAYA PASAR MINGGU NOMOR 32 01/04  KOTA ADM. JAKARTA SELATAN DKI JAKARTA",085217919389,,,,Perseroan Terbatas (PT),Aktif
755,PT BILITON SILIKA LESTARI,2704230086946.0,406818203036000.0,"RUKO GARDEN SHOPPING ARCADE BLOK B 08 AL, GROGOL PETAMBURAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",082223332111,adm.bsl.operasional@gmail.com,14.0,,Perseroan Terbatas (PT),
753,PT BILITON SUMBER SILIKA,2106230137608.0,393226014036000.0,"RUKO GARDEN SHOPPING ARCADE BLOK B 08 AL, GROGOL PETAMBURAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",07179109070,biliton.ss2013@gmail.com,10.0,,Perseroan Terbatas (PT),
631,PT BILLITON PRIMA RESOURCES,2903220047063.0,534329982305000.0,"JL. BARU MEMPIU, DUSUN MEMPIU, MEMBALONG, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08122327888,billitonprima@gmail.com,3.0,,Perseroan Terbatas (PT),
786,CV BILLITON SINAR PERKASA,1008220027526.0,760535989305000.0,"JALAN RAYA PETIKAN, DUSUN PETIKAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08117311566,billitonsinarperkasa@gmail.com,21.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
38,CV BILLITON SINAR PERKASA,1008220027526.0,760535989305000.0,JL. FAJAR RT.036 RW.012 036/012 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,085219472993,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
548,PT BIMBIM TRANSMINERATAMA SEJAHTERA,401220040298.0,536174816304000.0,"JL GIRIMAYA NO. 8, PENJARINGAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081272229004,bts.transmineratama@gmail.com,19.0,,Perseroan Terbatas (PT),
320,PT BINTANG DELAPAN ENAM,227000901053.0,837189679304000.0,"JALAN YANG ZUBAIDAH RUKO GEMILANG NO. 01 RT 09 RW 03, RANGKUI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",02129021122,bintangdelapanenam@gmail.com,14.0,,Perseroan Terbatas (PT),
317,PT BINTANG MAJU RAHARJA,9120100902157.0,857385033402000.0,"RUKO PINANGSIA BLOK L NOMOR 17 LIPPO KARAWACI, CIBODAS, KOTA TANGERANG, BANTEN",08179981823,adm.bmraharja@gmail.com,9.0,,,
592,PT BINTANGPUSPITA BUMIDWIPA,8120000882309.0,14957609305000.0,"JALAN TARUNA SIMPANG EMPAT NOMOR 18, SIJUK, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",02130027545,bbumidwipa@gmail.com,22.0,,Perseroan Terbatas (PT),
4,CV BONANZA,220008620333.0,808997852608000.0,JL. IMAM BONJOL GG.I  000/000 KOTA SUMENEP KAB. SUMENEP JAWA TIMUR,082324393030,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
101,CV BONANZA,1282000112326.0,12769279308000.0,"JL. MURAI, AIR RAYA TIMUR I 034/011 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG",08111117272,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
118,CV BONANZA,9120002491319.0,27729425516000.0,KRAPYAK RT 003 RW 009 003/009 TAHUNAN KAB. JEPARA JAWA TENGAH,081326796276,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
